Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seventh Author,Eighth Author,Institution ,Publication Date,DOI,Link
High-resolution chemical Abundances of the Nyx Stream,Shuyu Wang,Lina Necib,Alexander P. Ji,Xiaowei Ou,Mariangela Lisanti,Mithi A. C. de los reyes,Allison L. Strom,Mimi Truong,University of Chicago,"Thursday, September 26, 2024",10.3847/1538-4357/acec4d,https://iopscience.iop.org/article/10.3847/1538-4357/acec4d
Phase-space Properties and Chemisty of the Sagettarius Stellar Stream Down to the Extremely Metal-poor Regime,Guilherme Limberg,Anna B. A. Queiroz,Hélio D. Perottoni,Silvia Rossi,João A. S. Amarante,Rafael M. Santucci,Cristina Chiappini,Angeles Pérez-Villegas,University of Chicago,"Thursday, March 30, 2023",10.3847/1538-4357/acb694,https://iopscience.iop.org/article/10.3847/1538-4357/acb694
The Metal-weak Milky Way Stellar Disk Hidden in the Gaia–Sausage–Enceladus Debris: The APOGEE DR17 View,Sofia Feltzing,Diane Feuillet,NULL,NULL,NULL,NULL,NULL,NULL,Lund Observatory,"Friday, August 11, 2023",10.3847/1538-4357/ace185,https://iopscience.iop.org/article/10.3847/1538-4357/ace185
The Chemodynamical Nature of the Triangulum–Andromeda Overdensity,Yuri Abuchaim,Hélio D. Perottoni,Silvia Rossi,Guilherme Limberg,Angeles Pérez-Villegas,Rafael M. Santucci,Vinicius M. Placco,João V. Sales-Silva,Universidade de São Paulo,"Friday, May 26, 2023",10.3847/1538-4357/acc9bc,https://iopscience.iop.org/article/10.3847/1538-4357/acc9bc
Evidence for Multiple Accretion Events in the Gaia-Sausage/Enceladus Structures,Young Kwang Kim,Young Sun Lee,Timothy C. Beers,Jae-Rim Koo,NULL,NULL,NULL,NULL,Chungnam National University,"Tuesday, April 16, 2024",10.3847/2041-8213/abf35e,https://iopscience.iop.org/article/10.3847/2041-8213/abf35e
Evidence from Disrupted Halo Dwarfs that r-process Enrichment via Neutron Star Mergers is Delayed by ?500 Myr,Rohan P. Naidu,Alexander P. Ji,Charlie Conroy,Ana Bonaca,Yuan-Sen Ting,Dennis Zaritsky,Lieke A. C. van Son,Floor S. Broekgaarden,Harvard & Smithsonian,"Thursday, February 24, 2022",10.3847/2041-8213/ac5589,https://iopscience.iop.org/article/10.3847/2041-8213/ac5589
The Poor Old Heart of the Milky Way,Hans-Walter Rix,Vedant Chandra,René Andrae,Adrian M. Price-Whelan,David H. Weinberg,Charlie Conroy,Morgan Fouesneau,David W Hogg,Max-Planck-Institut für Astronomie,"Monday, December 12, 2022",10.3847/1538-4357/ac9e01,https://iopscience.iop.org/article/10.3847/1538-4357/ac9e01
Dynamically Tagged Groups of Metal-poor Stars. II. The Radial Velocity Experiment Data Release 6,Derek Shank,Dante Komater,Timothy C. Beers,Vinicius M. Placco,Yang Huang,NULL,NULL,NULL,University of Notre Dame,"Wednesday, July 20, 2022",10.3847/1538-4365/ac680c,https://iopscience.iop.org/article/10.3847/1538-4365/ac680c
Inferred Evidence for Dark Matter Kinematic Substructure with SDSS–Gaia,Lina Necib,Mariangela Lisanti,Vasily Belokurov,NULL,NULL,NULL,NULL,NULL,California Institute of Technology,"Friday, March 15, 2019",10.3847/1538-4357/ab095b,https://iopscience.iop.org/article/10.3847/1538-4357/ab095b
Untangling the Sources of Abundance Dispersion in Low-metallicity Stars,Emily J. Griffith,Jennifer A. Johnson,David H. Weinberg,Ilya Ilyin,James W. Johnson2,Romy Rodriguez-Martinez,Klaus G. Strassmeier,NULL,University of Colorado,"Friday, February 10, 2023",10.3847/1538-4357/aca659,https://iopscience.iop.org/article/10.3847/1538-4357/aca659
Element Abundance Analysis of the Metal-rich Stellar Halo and High-velocity Thick Disk in the Galaxy,Haifan Zhu,Cuihua Du,Yepeng Yan,Jianrong Shi,Jun Ma,Heidi Jo Newberg,NULL,NULL,University of Chinese Academy of Sciences,"Monday, June 28, 2021",10.3847/1538-4357/abff52,https://iopscience.iop.org/article/10.3847/1538-4357/abff52
The Observable Properties of Galaxy Accretion Events in Milky Way–like Galaxies in the FIRE-2 Cosmological Simulations,Danny Horta,Emily C. Cunningham,Robyn E. Sanderson,Kathryn V. Johnston,Nondh Panithanpaisal,Arpit Arora,Lina Necib,Andrew Wetzel,Flatiron Institute,"Monday, February 6, 2023",10.3847/1538-4357/acae87,https://iopscience.iop.org/article/10.3847/1538-4357/acae87
Existence of the Metal-rich Stellar Halo and High-velocity Thick Disk in the Galaxy,Yepeng Yan,Cuihua Du,Hefan Li,Jianrong Shi,Jun Ma,Heidi Jo Newberg,NULL,NULL,University of Chinese Academy of Sciences,"Wednesday, November 11, 2020",10.3847/1538-4357/abbd3d,https://iopscience.iop.org/article/10.3847/1538-4357/abbd3d
Evidence from the H3 Survey That the Stellar Halo Is Entirely Comprised of Substructure,Rohan P. Naidu,Charlie Conroy,Ana Bonaca,Benjamin D. Johnson,Yuan-Sen Ting ,Nelson Caldwell,Dennis Zaritsky,Phillip A. Cargile,Harvard & Smithsonian,"Monday, September 21, 2020",10.3847/1538-4357/abaef4,https://iopscience.iop.org/article/10.3847/1538-4357/abaef4
Gastro Library. I. The Simulated Chemodynamical Properties of Several Gaia–Sausage–Enceladus-like Stellar Halos,João A. S. Amarante,Victor P. Debattista,Leandro Beraldo E Silva,Chervin F. P. Laporte,Nathan Deg,NULL,NULL,NULL,Universitat de Barcelona,"Friday, September 16, 2022",10.3847/1538-4357/ac8b0d,https://iopscience.iop.org/article/10.3847/1538-4357/ac8b0d
Reading the CARDs: The Imprint of Accretion History in the Chemical Abundances of the Milky Way's Stellar Halo,Emily C. Cunningham,Robyn E. Sanderson,Kathryn V. Johnston,Nondh Panithanpaisal,Melissa K. Ness,Andrew Wetzel,Sarah R. Loebman,Ivanna Escala,Flatiron Institute,"Thursday, August 4, 2022",10.3847/1538-4357/ac78ea,https://iopscience.iop.org/article/10.3847/1538-4357/ac78ea
A Blueprint for the Milky Way's Stellar Populations. III. Spatial Distributions and Population Fractions of Local Halo Stars,Deokkeun An,Timothy C. Beers,NULL,NULL,NULL,NULL,NULL,NULL,Ewha Womans University,"Thursday, September 9, 2021",10.3847/1538-4357/ac07a4,https://iopscience.iop.org/article/10.3847/1538-4357/ac07a4
"Combining Astrometry and Elemental Abundances: The Case of the Candidate Pre-Gaia Halo Moving Groups G03-37, G18-39, and G21-22*",Simon C. Schuler,Jeff J. Andrews,Vincent R. Clanzy II,Mohammed Mourabit,Julio Chanamé,Marcel A. Agüeros,NULL,NULL,University of Tampa,"Wednesday, August 18, 2021",10.3847/1538-3881/ac10c6,https://iopscience.iop.org/article/10.3847/1538-3881/ac10c6
Orbital and Absolute Magnitude Distribution of Jupiter Trojans,David Vokrouhlick?,David Nesvorn?,Miroslav Bro?,William F. Bottke,Rogerio Deienno,Carson D. Fuls,Frank C. Shelly,NULL,Charles University,"Wednesday, February 28, 2024",10.3847/1538-3881/ad2200,https://iopscience.iop.org/article/10.3847/1538-3881/ad2200
Characterization of High-polarization Stars and Blazars with DIPOL-1 at Sierra Nevada Observatory,J. Otero-Santos,V. Piirola,J. Escudero Pedrosa,I. Agudo,D. Morcuende,A. Sota,V. Casanova,F. J. Aceituno,Instituto de Astrofísica de Andalucía,"Wednesday, February 28, 2024",10.3847/1538-3881/ad250d,https://iopscience.iop.org/article/10.3847/1538-3881/ad250d
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1523
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1524
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1526
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1244
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11e0
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0728
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad110c
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b13
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad12bf
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11e2
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b6f
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1039
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad110e
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0bfd
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1509
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad14f7
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad11de
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad1110
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad09bd
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad08ba
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b72
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0a96
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0894
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0be8
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0b0b
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/acf576
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0beb
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad09c2
,,,,,,,,,,,,https://iopscience.iop.org/article/10.3847/1538-3881/ad0a62
