Keyword_ID,Keyword,Publication_ID
1,Polarimeters,1
2,Polarimetry,1
3,Blazars,1
4,Jets,1
5,ÊHigh energy astrophysics,1
6,Observational astronomy,1
7,Stellar streams,2
8,Dwarf galaxies,2
9,CEMP stars,2
10,Galactic archaeology,2
11,Milky Way stellar halo,2
12,Stellar kinematics,2
13,Milky Way Galaxy,3
14,Milky Way formation,3
15,Milky Way stellar halo,3
16,Milky Way disk,3
17,Milky Way evolution,3
18,Chemical abundances,4
19,Milky Way disk,4
20,Galaxy kinematics,4
21,Milky Way stellar halo,4
22,High resolution spectroscopy,4
23,Galactic archaeology,4
24,Milky Way stellar halo,5
25,Stellar kinematics,5
26,Stellar dynamics,5
27,Milky Way Galaxy,5
28,Stellar abundances,5
29,Stellar populations,5
30,Surveys,5
31,R-process,6
32,Galactic archaeology,6
33,Milky Way stellar halo,6
34,Halo stars,6
35,Milky Way formation,7
36,Metallicity,7
37,Gaia,7
38,Chemical enrichment,7
39,Galaxy formation,7
40,Milky Way dynamics,7
41,Milky Way dynamics,8
42,Galaxy dynamics,8
43,Galactic archaeology,8
44,Milky Way evolution,8
45,Milky Way stellar halo,8
46,Milky Way formation,8
47,dark matter,9
48,Galaxy: evolution,9
49,Galaxy: kinematics and dynamics,9
50,stars: kinematics and dynamics,9
51,surveys,9
52,Abundance ratios,10
53,High resolution spectroscopy,10
54,Chemical enrichment,10
55,Supernovae,10
56,Galaxy disks,11
57,Galaxy kinematics,11
58,Galaxy abundances,11
59,Galaxy structure,11
60,Galaxy stellar halos,11
61,Galaxy formation,12
62,Milky Way Galaxy,12
63,Milky Way stellar halo,12
64,Milky Way dynamics,12
65,Galaxy stellar halos,13
66,Galaxy stellar disks,13
67,Galaxy structure,13
68,Galaxy kinematics,13
69,Galaxy abundances,13
70,Galaxy stellar halos,14
71,Galaxy kinematics,14
72,Milky Way evolution,14
73,Galaxy evolution,14
74,Galaxy formation,14
75,Milky Way formation,14
76,Milky Way Galaxy,14
77,Milky Way stellar halo,14
78,Milky Way dynamics,15
79,Milky Way formation,15
80,Milky Way stellar halo,15
81,Hydrodynamical simulations,15
82,Milky Way stellar halo,16
83,Chemical abundances,16
84,Galaxy chemical evolution,16
85,Milky Way Galaxy,17
86,Milky Way stellar halo,17
87,Milky Way dynamics,17
88,Milky Way formation,17
89,Milky Way evolution,17
90,Stellar abundances,17
91,Stellar populations,17
92,Chemical abundances,18
93,Stellar abundances,18
94,Stellar physics,18
95,Halo stars,18
96,Moving clusters,18
97,High resolution spectroscopy,18
98,Astrometry,18
99,Astronomy software,18
100,Solar system astronomy,19
101,Small Solar System bodies,19
102,Polarimeters,20
103,Polarimetry,20
104,Blazars,20
105,Jets,20
106,High energy astrophysics,20
107,Observational astronomy,20
